MC2-E-0001	MC2-E-0001-0001	born August 11, 1953
MC2-E-0001	MC2-E-0001-0002	opened a gym, known as Whitey and Terry's Olympic gym
MC2-E-0001	MC2-E-0001-0003	Terry Gene Bollea
MC2-E-0001	MC2-E-0001-0004	training, saying prayers, and eating vitamins are his three demandments
MC2-E-0001	MC2-E-0001-0005	the longest-reigning WCW World Heavyweight Champion of all time
MC2-E-0001	MC2-E-0001-0006	most recognized wrestling star worldwide
MC2-E-0001	MC2-E-0001-0007	impressed by Beefcakes physical stature
MC2-E-0001	MC2-E-0001-0008	also a skilled musician
MC2-E-0001	MC2-E-0001-0009	became the face of pro wrestling
MC2-E-0001	MC2-E-0001-0010	made his debut in the American Wrestling Association
MC2-E-0001	MC2-E-0001-0011	used a crooked arm lariat in Japan
MC2-E-0001	MC2-E-0001-0012	dropped out of the University of South Florida
MC2-E-0001	MC2-E-0001-0013	a 12-time world champion
MC2-E-0001	MC2-E-0001-0014	a regular pay-per-view headliner in  WWF and WCW
MC2-E-0001	MC2-E-0001-0015	regularly attended wrestling cards at the Tampa Sportatorium in high school
MC2-E-0001	MC2-E-0001-0016	named the most requested celebrity of the 1980s
MC2-E-0001	MC2-E-0001-0017	has Italian, French, and Panamanian heritage
MC2-E-0001	MC2-E-0001-0018	6 ft 7 in, 295 pounds
MC2-E-0001	MC2-E-0001-0019	most popular wrestler of the 80s
MC2-E-0001	MC2-E-0001-0020	an American professional wrestler
MC2-E-0001	MC2-E-0001-0021	a pitcher in Little League Baseball when young
MC2-E-0001	MC2-E-0001-0022	won his first wrestling championship
MC2-E-0001	MC2-E-0001-0023	Japanese wrestling fans nicnamed him Ichiban
MC2-E-0001	MC2-E-0001-0024	born in Augusta, Georgia
MC2-E-0001	MC2-E-0001-0025	the first man to win two consecutive Royal Rumbles
MC2-E-0001	MC2-E-0001-0026	The Iron Sheik won the title from Backlund first and then dropped it to Hogan
MC2-E-0002	MC2-E-0002-0001	vocals to Nothin on You by B.o.B
MC2-E-0002	MC2-E-0002-0002	dating Jessica Caban
MC2-E-0002	MC2-E-0002-0003	song: When I Was Your Man
MC2-E-0002	MC2-E-0002-0004	production team The Smeezingtons
MC2-E-0002	MC2-E-0002-0005	Cosmopolitan of Las Vegas
MC2-E-0002	MC2-E-0002-0006	won two Grammy Awards
MC2-E-0002	MC2-E-0002-0007	won three MTV Europe Music Awards
MC2-E-0002	MC2-E-0002-0008	American voice actor
MC2-E-0002	MC2-E-0002-0009	song: Locked Out of Heaven
MC2-E-0002	MC2-E-0002-0010	song: The Lazy Song
MC2-E-0002	MC2-E-0002-0011	won two Brit Awards
MC2-E-0002	MC2-E-0002-0012	The Moonshine Jungle Tour
MC2-E-0002	MC2-E-0002-0013	song: Grenade
MC2-E-0002	MC2-E-0002-0014	European tour with Travie McCoy
MC2-E-0002	MC2-E-0002-0015	founded the production team The Smeezingtons
MC2-E-0002	MC2-E-0002-0016	song: Billionaire
MC2-E-0002	MC2-E-0002-0017	Artist of the Year by Billboard
MC2-E-0002	MC2-E-0002-0018	song: Just the Way You Are
MC2-E-0002	MC2-E-0002-0019	album: Unorthodox Jukebox
MC2-E-0002	MC2-E-0002-0020	worlds best-selling artists of all time
MC2-E-0002	MC2-E-0002-0021	debut studio album Doo-Wops & Hooligans
MC2-E-0002	MC2-E-0002-0022	5 number-one singles on the Billboard Hot 100
MC2-E-0002	MC2-E-0002-0023	American songwriter
MC2-E-0002	MC2-E-0002-0024	Website: brunomars.com
MC2-E-0002	MC2-E-0002-0025	Forbes 30 under 30
MC2-E-0002	MC2-E-0002-0026	American choreographer
MC2-E-0002	MC2-E-0002-0027	The Doo-Wops & Hooligans Tour
MC2-E-0002	MC2-E-0002-0028	accompanied by his band The Hooligans
MC2-E-0002	MC2-E-0002-0029	song: Treasure
MC2-E-0002	MC2-E-0002-0030	Time Magazines 100 most influential people in the world
MC2-E-0002	MC2-E-0002-0031	Peter Gene Hernandez
MC2-E-0002	MC2-E-0002-0032	American singer
MC2-E-0002	MC2-E-0002-0033	sold over 12 million albums and 68 million singles
MC2-E-0002	MC2-E-0002-0034	born October 8, 1985
MC2-E-0002	MC2-E-0002-0035	born and raised in Honolulu, Hawaii
MC2-E-0002	MC2-E-0002-0036	American record producer
MC2-E-0002	MC2-E-0002-0037	Hands All Over Tour
MC2-E-0002	MC2-E-0002-0038	vocals to Billionaire by Travie McCoy
MC2-E-0003	MC2-E-0003-0001	reported as the identity of CTB in CTB v News Group Newspapers
MC2-E-0003	MC2-E-0003-0002	most decorated player
MC2-E-0003	MC2-E-0003-0003	Ambassador for UNICEF UK
MC2-E-0003	MC2-E-0003-0004	son of Danny Wilson, a rugby union player
MC2-E-0003	MC2-E-0003-0005	honoured with the 2011 Golden Foot
MC2-E-0003	MC2-E-0003-0006	the only player to have played in every season of the Premier League
MC2-E-0003	MC2-E-0003-0007	former football player
MC2-E-0003	MC2-E-0003-0008	three League Cup winners medals
MC2-E-0003	MC2-E-0003-0009	BBC Sports Personality of the Year
MC2-E-0003	MC2-E-0003-0010	played for the Welsh national team
MC2-E-0003	MC2-E-0003-0011	born in Cardiff, Wales
MC2-E-0003	MC2-E-0003-0012	former left winger
MC2-E-0003	MC2-E-0003-0013	planning to build football-themed hotels and cafés
MC2-E-0003	MC2-E-0003-0014	obtained an anonymised gagging order in relation to an alleged extra-marital affair with model Imogen Thomas
MC2-E-0003	MC2-E-0003-0015	born 29 November 1973
MC2-E-0003	MC2-E-0003-0016	known for tireless running
MC2-E-0003	MC2-E-0003-0017	co-owner of Salford City
MC2-E-0003	MC2-E-0003-0018	ability to create goalscoring opportunities
MC2-E-0003	MC2-E-0003-0019	changed surname from Wilson to Giggs
MC2-E-0003	MC2-E-0003-0020	Ryan Joseph Giggs
MC2-E-0003	MC2-E-0003-0021	four FA Cup winners medals
MC2-E-0003	MC2-E-0003-0022	elected into the PFA Team of the Century
MC2-E-0003	MC2-E-0003-0023	two Champions League winners medals
MC2-E-0003	MC2-E-0003-0024	halfway through UEFA A coaching licence
MC2-E-0003	MC2-E-0003-0025	remarkably good at ball possession
MC2-E-0003	MC2-E-0003-0026	appointed an OBE in the Queens 2007 Birthday Honours List
MC2-E-0003	MC2-E-0003-0027	named Manchester Uniteds greatest ever player
MC2-E-0003	MC2-E-0003-0028	the captain of the Great Britain
MC2-E-0003	MC2-E-0003-0029	named overaged player
MC2-E-0003	MC2-E-0003-0030	height: 1.79 m
MC2-E-0003	MC2-E-0003-0031	married his long-time partner, Stacey Cooke
MC2-E-0003	MC2-E-0003-0032	Welsh football coach
MC2-E-0003	MC2-E-0003-0033	the first player to win two consecutive PFA Young Player of the Year awards
MC2-E-0003	MC2-E-0003-0034	the youngest player to represent the Welsh
MC2-E-0003	MC2-E-0003-0035	has two children
MC2-E-0003	MC2-E-0003-0036	played 1991–92 season
MC2-E-0003	MC2-E-0003-0037	assistant manager at Manchester United
MC2-E-0003	MC2-E-0003-0038	thirteen Premier League winners medals
MC2-E-0003	MC2-E-0003-0039	the last remaining player in the Premier League
MC2-E-0004	MC2-E-0004-0001	married Michael Greenburg
MC2-E-0004	MC2-E-0004-0002	born in Meadville, Pennsylvania, U.S.
MC2-E-0004	MC2-E-0004-0003	drama series: Agent X
MC2-E-0004	MC2-E-0004-0004	adopted second son, Laird Vonne Stone, in 2005
MC2-E-0004	MC2-E-0004-0005	won Golden Globe Award for Best Actress in a Motion Picture Drama
MC2-E-0004	MC2-E-0004-0006	received the Peace Summit Award
MC2-E-0004	MC2-E-0004-0007	film: The Muse
MC2-E-0004	MC2-E-0004-0008	Sharon Yvonne Stone
MC2-E-0004	MC2-E-0004-0009	born March 10, 1958
MC2-E-0004	MC2-E-0004-0010	born and raised in Meadville, Pennsylvania, USA
MC2-E-0004	MC2-E-0004-0011	film: Basic Instinct
MC2-E-0004	MC2-E-0004-0012	drama series: The Practice
MC2-E-0004	MC2-E-0004-0013	American actress
MC2-E-0004	MC2-E-0004-0014	adopted first son, Roan Joseph Bronstein, in 2000
MC2-E-0004	MC2-E-0004-0015	married Phil Bronstein
MC2-E-0004	MC2-E-0004-0016	film: Bobby
MC2-E-0004	MC2-E-0004-0017	film: The Mighty
MC2-E-0004	MC2-E-0004-0018	film: Lovelace
MC2-E-0004	MC2-E-0004-0019	film: Casino
MC2-E-0004	MC2-E-0004-0020	American film producer
MC2-E-0004	MC2-E-0004-0021	won Academy Award for Best Actress
MC2-E-0004	MC2-E-0004-0022	peace promotion in the Middle East
MC2-E-0004	MC2-E-0004-0023	won Emmy Award for Outstanding Guest Actress in a Drama Series
MC2-E-0004	MC2-E-0004-0024	won the title of Miss Crawford County, Pennsylvania
MC2-E-0004	MC2-E-0004-0025	former fashion model
MC2-E-0004	MC2-E-0004-0026	film: Alpha Dog
MC2-E-0004	MC2-E-0004-0027	hosted the Nobel Peace Prize Concert in Oslo, Norway
MC2-E-0004	MC2-E-0004-0028	Height: 5 8½
MC2-E-0004	MC2-E-0004-0029	suffered from subarachnoid hemorrhage
MC2-E-0004	MC2-E-0004-0030	film: Total Recall
MC2-E-0004	MC2-E-0004-0031	adopted her third son, Quinn Kelly Stone, in 2006
MC2-E-0005	MC2-E-0005-0001	runs the production company 'Syncopy Inc.'
MC2-E-0005	MC2-E-0005-0002	Christopher Jonathan James Nolan
MC2-E-0005	MC2-E-0005-0003	married a film producer, Emma Thomas
MC2-E-0005	MC2-E-0005-0004	has 4 children
MC2-E-0005	MC2-E-0005-0005	born 30 July 1970
MC2-E-0005	MC2-E-0005-0006	his father was an advertising executive
MC2-E-0005	MC2-E-0005-0007	modern locations and architecture
